No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
57,NTCT,2.16B,62.28,15.20,34.99,2.47,1.25,5.76,8.65,82.30%,8.98%,5.90%,1.78%,-5.90%,33.01,1.10%,"798,259"
58,UBER,63.99B,-,-,-,2.50,9.75,-,95.22,93.20%,97.80%,32.90%,22.75%,35.30%,33.05,5.52%,"34,308,248"
59,SWCH,8.32B,22.28,60.90,0.86,12.75,6.86,266.64,-,-71.40%,-66.32%,-47.80%,26.00%,13.20%,33.98,0.06%,"1,325,347"
60,EVTC,2.23B,16.61,12.84,8.02,3.64,4.78,7.74,10.85,54.70%,3.12%,17.00%,2.07%,8.70%,34.00,-0.09%,"458,779"
62,BSY,10.41B,111.17,39.77,18.53,9.79,21.89,111.50,40.95,-29.80%,5.60%,-,6.00%,-,35.24,-1.43%,"856,828"
63,STM,32.50B,11.91,9.00,2.38,2.30,3.37,9.44,35.21,79.30%,3.94%,63.20%,5.00%,12.80%,36.11,2.50%,"3,472,236"
64,BRZE,3.40B,-,-,-,12.69,6.98,6.41,-,-134.60%,21.30%,-,30.00%,-,36.32,3.24%,"1,200,573"
65,NCNO,4.07B,-,689.07,-,12.02,3.95,55.41,-,-10.60%,100.00%,-,40.10%,-,37.21,4.41%,"1,379,689"
66,DELL,27.59B,6.22,5.41,0.72,0.27,-,5.01,-,113.30%,4.35%,27.70%,8.64%,10.20%,38.13,-0.44%,"3,244,273"
67,VRNT,2.54B,-,13.72,-,2.82,2.97,9.86,18.35,92.20%,12.12%,31.90%,11.50%,-3.80%,38.20,-0.62%,"770,018"
68,WDC,12.20B,8.06,6.87,0.35,0.65,0.98,5.24,16.10,78.70%,115.49%,28.80%,22.80%,-0.30%,38.33,-2.52%,"5,801,598"
69,VSAT,2.88B,-,-,-,1.03,1.09,12.99,-,-484.30%,-3.10%,-19.90%,24.60%,12.30%,38.80,3.30%,"489,568"
